Designator,Mid X,Mid Y,Layer,Rotation
BZ2,211.275,-156.85,top,90
C1,214.725,-150.775,top,90
C2,208.875,-147.725,top,90
C3,131.65,-157.2,top,0
C4,131.65,-158.725,top,180
C5,98.425,-148.975,top,180
C6,91.85,-160.95,top,180
C7,95.425,-148.95,top,180
C8,97.525,-160.95,top,180
C9,95.45,-147.45,top,180
C10,207.4,-147.7,top,90
D1,210.475,-147.6375,top,90
D2,88.655,-105.295,top,180
D3,88.655,-108.595,top,180
D4,88.655,-115.195,top,180
D5,88.655,-118.495,top,180
D6,88.655,-125.195,top,180
D7,88.655,-128.495,top,180
D8,88.655,-135.095,top,180
D9,88.655,-138.395,top,180
D10,134.48,-149.4,top,-90
D11,134.48,-154.4,top,-90
D12,134.48,-159.4,top,-90
D13,197.025,-99.425,top,0
D14,144.48,-149.4,top,-90
D15,144.48,-159.4,top,-90
D16,144.48,-154.4,top,-90
D17,159.45,-99.425,top,0
D18,154.48,-149.4,top,-90
D19,154.48,-159.4,top,-90
D20,121.875,-99.425,top,0
D21,159.45,-111.925,top,90
D22,154.48,-154.4,top,-90
D23,164.48,-149.4,top,-90
D24,164.48,-159.4,top,-90
D25,164.48,-154.4,top,-90
D26,159.45,-131.8,top,-90
D27,174.48,-149.4,top,-90
D28,174.48,-159.4,top,-90
D29,174.48,-154.4,top,-90
D30,163.805,-105.295,top,180
D31,163.805,-108.595,top,180
D32,163.805,-115.195,top,180
D33,163.805,-118.495,top,180
D34,163.8,-125.2,top,180
D35,163.8,-128.5,top,180
D36,163.8,-135.1,top,180
D37,163.8,-138.4,top,180
D38,184.5,-149.4,top,-90
D39,184.5,-154.4,top,-90
D40,184.5,-159.4,top,-90
D41,172.705,-105.295,top,180
D42,172.705,-108.595,top,180
D43,172.705,-115.195,top,180
D44,172.705,-118.495,top,180
D45,172.705,-125.195,top,180
D46,172.705,-128.495,top,180
D47,172.705,-135.095,top,180
D48,172.705,-138.395,top,180
D49,176.055,-101.945,top,90
D50,189.25,-121.85,top,90
D51,176.055,-141.745,top,-90
D52,179.355,-101.945,top,90
D53,185.95,-121.85,top,90
D54,179.355,-141.745,top,-90
D55,185.955,-101.945,top,90
D56,179.35,-121.85,top,90
D57,185.955,-141.745,top,-90
D58,189.255,-101.945,top,90
D59,176.05,-121.85,top,90
D60,189.255,-141.745,top,-90
D61,192.605,-105.295,top,0
D62,192.605,-108.595,top,0
D63,192.605,-115.195,top,0
D64,192.605,-118.495,top,0
D65,192.605,-125.195,top,0
D66,192.605,-128.495,top,0
D67,192.605,-135.095,top,0
D68,192.605,-138.395,top,0
D69,201.505,-105.295,top,180
D70,201.505,-108.595,top,180
D71,201.505,-115.195,top,180
D72,201.505,-118.495,top,180
D73,201.505,-125.195,top,180
D74,201.505,-128.495,top,180
D75,201.505,-135.095,top,180
D76,201.505,-138.395,top,180
D77,204.86,-101.94,top,90
D78,204.855,-121.845,top,90
D79,204.855,-141.745,top,-90
D80,208.16,-101.94,top,90
D81,208.155,-121.845,top,90
D82,208.155,-141.745,top,-90
D83,214.76,-101.94,top,90
D84,214.755,-121.845,top,90
D85,214.755,-141.745,top,-90
D86,218.06,-101.94,top,90
D87,218.055,-121.845,top,90
D88,218.055,-141.745,top,-90
D89,221.395,-105.295,top,0
D90,221.395,-108.595,top,0
D91,221.395,-115.195,top,0
D92,221.395,-118.495,top,0
D93,221.405,-125.195,top,0
D94,221.405,-128.495,top,0
D95,221.405,-135.095,top,0
D96,221.405,-138.395,top,0
D97,97.55,-105.3,top,180
D98,97.55,-108.6,top,180
D99,97.55,-115.2,top,180
D100,97.55,-118.5,top,180
D101,97.55,-125.2,top,180
D102,97.55,-128.5,top,180
D103,97.55,-135.1,top,180
D104,97.55,-138.4,top,180
D105,100.9,-101.95,top,90
D106,114.095,-121.85,top,90
D107,100.9,-141.74,top,-90
D108,104.2,-101.95,top,90
D109,110.795,-121.85,top,90
D110,104.2,-141.74,top,-90
D111,110.8,-101.95,top,90
D112,104.195,-121.85,top,90
D113,110.8,-141.74,top,-90
D114,114.1,-101.95,top,90
D115,100.895,-121.85,top,90
D116,114.1,-141.74,top,-90
D117,117.44,-105.3,top,0
D118,117.44,-108.6,top,0
D119,117.44,-115.2,top,0
D120,117.44,-118.5,top,0
D121,117.45,-125.2,top,0
D122,117.45,-128.5,top,0
D123,117.45,-135.1,top,0
D124,117.45,-138.4,top,0
D125,126.355,-105.295,top,180
D126,126.355,-108.595,top,180
D127,126.355,-115.195,top,180
D128,126.355,-118.495,top,180
D129,126.355,-125.195,top,180
D130,126.355,-128.495,top,180
D131,126.355,-135.095,top,180
D132,126.355,-138.395,top,180
D133,129.7,-101.95,top,90
D134,129.705,-121.835,top,90
D135,129.705,-141.745,top,-90
D136,133,-101.95,top,90
D137,133.005,-121.835,top,90
D138,133.005,-141.745,top,-90
D139,139.6,-101.95,top,90
D140,139.605,-121.835,top,90
D141,139.605,-141.745,top,-90
D142,142.9,-101.95,top,90
D143,142.905,-121.835,top,90
D144,142.905,-141.745,top,-90
D145,146.255,-105.295,top,0
D146,146.255,-108.595,top,0
D147,146.255,-115.195,top,0
D148,146.255,-118.495,top,0
D149,146.245,-125.195,top,0
D150,146.245,-128.495,top,0
D151,146.245,-135.095,top,0
D152,146.245,-138.395,top,0
D153,88.655,-111.895,top,180
D154,88.655,-131.795,top,180
D155,163.805,-111.895,top,180
D156,163.8,-131.8,top,180
D157,172.705,-111.895,top,180
D158,172.705,-131.795,top,180
D159,182.655,-101.945,top,90
D160,182.65,-121.85,top,90
D161,182.655,-141.745,top,-90
D162,192.605,-111.895,top,0
D163,192.605,-131.795,top,0
D164,201.505,-111.895,top,180
D165,201.505,-131.795,top,180
D166,211.46,-101.94,top,90
D167,211.455,-121.845,top,90
D168,211.455,-141.745,top,-90
D169,221.395,-111.895,top,0
D170,221.405,-131.795,top,0
D171,97.55,-111.9,top,180
D172,97.55,-131.8,top,180
D173,107.5,-101.95,top,90
D174,107.495,-121.85,top,90
D175,107.5,-141.74,top,-90
D176,117.44,-111.9,top,0
D177,117.45,-131.8,top,0
D178,126.355,-111.895,top,180
D179,126.355,-131.795,top,180
D180,136.3,-101.95,top,90
D181,136.305,-121.835,top,90
D182,136.305,-141.745,top,-90
D183,146.255,-111.895,top,0
D184,146.245,-131.795,top,0
J2,218.9575,-153.9825,top,90
J3,211.7625,-150.9,top,0
Q5,205.1375,-158.975,top,0
Q6,205.1375,-152.125,top,0
Q7,205.1125,-155.525,top,0
R1,216.275,-156.9,top,-90
R2,216.275,-151.1,top,90
R3,212.025,-147.65,top,-90
R4,215.5,-148.325,top,0
R5,101.4,-147.55,top,0
R6,101.4,-149.025,top,0
R7,100.5,-160.95,top,0
R8,98.425,-147.475,top,180
R20,216.275,-159.875,top,90
R21,202.425,-159.825,top,-90
R22,202.425,-156.825,top,90
R24,110.35,-151.25,top,0
R25,208.3,-150.7,top,90
R27,110.35,-152.725,top,0
R28,110.35,-149.75,top,0
R29,110.35,-154.2,top,0
R46,110.35,-155.7,top,0
R47,107.275,-157.075,top,-90
R48,107.125,-154.1,top,-90
R49,105.525,-157.175,top,-90
R50,105.5,-154.175,top,-90
R51,103.925,-157.175,top,-90
R58,103.9,-154.175,top,-90
R59,102.25,-157.125,top,-90
R60,102.275,-154.15,top,-90
R61,100.65,-157.125,top,-90
R62,100.625,-154.125,top,-90
SW1,196.55,-150.875,top,-90
SW2,121.6,-151.125,top,-90
SW3,159.45,-151.125,top,-90
U1,97.77,-154.951,top,90
U2,204.9375,-148.3,top,90
U3,105.55,-149.625,top,90
